node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#511:G-19,#511,G-19,漁場,fishery,899,599,sbM,,unknown,unknown,unknown,,active,owned,2026/05/21 10:34,,safe_time_missing,2026/05/21 10:34,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1180,2026-05-30T23:03:59+09:00,
#511:d-16,#511,d-16,都市,city,749,349,sbM,,unknown,unknown,unknown,,active,owned,2026/05/21 9:39,,safe_time_missing,2026/05/21 9:39,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1182,2026-05-30T23:03:59+09:00,
#511:H-9,#511,H-9,漁場,fishery,399,699,JLO,,unknown,unknown,unknown,,active,owned,2026/05/21 0:05,,safe_time_missing,2026/05/21 0:05,JLO,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1185,2026-05-30T23:03:59+09:00,
#511:I-9,#511,I-9,漁場,fishery,399,799,NBNH,,unknown,unknown,unknown,,active,owned,2026/05/20 23:43,,safe_time_missing,2026/05/20 23:43,NBNH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1186,2026-05-30T23:03:59+09:00,
#511:j-6,#511,j-6,都市,city,249,949,JL2,,unknown,unknown,unknown,,active,owned,2026/05/20 11:30,,safe_time_missing,2026/05/20 11:30,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1190,2026-05-30T23:03:59+09:00,
#511:h-4,#511,h-4,都市,city,149,749,JL2,,unknown,unknown,unknown,,active,owned,2026/05/20 11:08,,safe_time_missing,2026/05/20 11:08,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1191,2026-05-30T23:03:59+09:00,
#511:D-19,#511,D-19,漁場,fishery,899,299,sbM,,unknown,unknown,unknown,,active,owned,2026/05/20 9:50,,safe_time_missing,2026/05/20 9:50,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1193,2026-05-30T23:03:59+09:00,
#511:g-8,#511,g-8,都市,city,349,649,JLO,,unknown,unknown,unknown,,active,owned,2026/05/20 0:00,,safe_time_missing,2026/05/20 0:00,JLO,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1196,2026-05-30T23:03:59+09:00,
#511:G-3,#511,G-3,漁場,fishery,99,599,EDFS,,unknown,unknown,unknown,,active,owned,2026/05/28 7:34,,safe_time_missing,2026/05/28 7:34,EDFS,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1198,2026-05-30T23:03:59+09:00,
#511:K-9,#511,K-9,漁場,fishery,399,978,OOEf,,unknown,unknown,unknown,,active,owned,2026/05/19 15:21,,safe_time_missing,2026/05/19 15:21,OOEf,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1199,2026-05-30T23:03:59+09:00,
